#,Name of scholarship,Degree Type,Deadline,Country ,Scholarship Coverage,Language Proficiency,Other relevant notes,Application Link
1,Open University Milton Keynes,PhD,Opens autumn 2025,UK,"full tuition, stipend or maintenance (monthly/annually)",IELTS,"The Open University Faculty of Business and Law
Only for full time study",https://business-school.open.ac.uk/research/research-degrees/phd-studentships
82,Joint Japan/World Bank Graduate Scholarship Program (JJ/WBGSP),Master's,"February 29, 2025 (Cycle 1) and May 24, 2025 (Cycle 2)",Various (partner universities globally),"full tuition, stipend or maintenance (monthly/annually), travel allowance",,Open to citizens of developing countries including Palestine; must have 3+ years development-related work experience,https://www.worldbank.org/en/programs/scholarships/jj-wbgsp
83,HAN University of Applied Sciences Scholarship,"Bachelor's, Master's","For degrees starting in September, 1 May 2025, 12 pm CEST	
For degrees starting in February, 19 October, 2025, 12 pm CEST",Netherlands ,partial tuition,"IELTS, TOEFL",You need to first apply and be accepted by a university in the Netherlands. Scholarship is only for about 2500 Euro per semester or per year.,https://www.hanuniversity.com/en/study-and-living/scholarships/
84,Brigham Young,,"if for fall 2025 entry, scholarships are closed",US,unclear,unclear,Unclear,"Scholarships Committee
BYU – Jerusalem Center
Mt. of Olives
Tel: +972-2-6265666
E-mail: byu-ps@jc.byu.ac"
85,Tomorrow's Leaders Program,"Bachelor's, Master's, PhD",Interviews: January 2025; Application Cycle: Closed,Lebanon,"full tuition, accommodation, health allowance",,"Socioeconomically underserved students. Must reside in eligible MENA countries. American University of Beirut, American University in Cairo, Lebanese American University",https://www.tomorrowsleadersprogram.org/?sfnsn=wa
86,"Palestinian Scholarship – Goldsmiths, University of London","Bachelor's, Master's",2-May-2025,United Kingdom,"full tuition, stipend or maintenance (monthly/annually), travel allowance","IELTS, TOEFL","For Palestinian students (priority: West Bank, Gaza, refugee camps); must hold an offer from Goldsmiths for 2025; must require UK Student Visa; scholarship covers one year only (if on two-year PG course); prioritized for applicants with no prior international university experience or completed postgraduate degree",https://www.gold.ac.uk/fees-funding/scholarships/palestinian-scholarship/
87,France Excellence Scholarship – Students from Gaza,"Bachelor's, Master's",Not specified,France,"stipend or maintenance (monthly/annually), travel allowance",,For Palestinian students from Gaza in Egypt/France,https://www.ifporient.org/scholarship-students-from-gaza-2024-2025/
88,Fulbright Foreign Student Program 2025–2026,"Master's, PhD",Not specified,United States,"full tuition, stipend or maintenance (monthly/annually), visa cost, travel allowance","TOEFL, IELTS",Open to Palestinians; leadership and academic merit emphasized,https://palestinianaffairs.state.gov/education/the-fulbright-foreign-student-program-for-2025-2026/
89,Gaza-Palestine Postgraduate Taught Scholarship – University of Sheffield,Master's,Not specified,United Kingdom,"full tuition, stipend or maintenance (monthly/annually), accommodation",,For students from Gaza,https://www.sheffield.ac.uk/international/fees-and-funding/scholarships/postgraduate/gaza
90,Brunei Scholarships for Palestinian Students 2025/2026,"Bachelor's, Master's",Not specified,Brunei,"full tuition, accommodation",,"Offered through the Palestinian Ministry; available at 5 Brunei institutions: UBD, PB, UNISSA, UTB, KUPU SB",https://www.mohe.pna.ps/scholarships/Post/5948
91,Dr. Jack G. Shaheen Mass Communications Scholarship,"Bachelor's, Master's, PhD",Not specified (typically spring),United States,stipend or maintenance (monthly/annually),,"For Arab American students pursuing degrees in mass communications, journalism, radio, TV, and film.",https://support.adc.org/a/shaheenscholarship
92,Palestine Crisis Scholarship Scheme – University of Oxford,Master's,Nov/Dec/Jan deadlines (2025-26 entry),United Kingdom,"full tuition, stipend or maintenance (monthly/annually)",,For individuals displaced by crisis in Gaza or West Bank,https://www.ox.ac.uk/admissions/graduate/fees-and-funding/fees-funding-and-scholarship-search/crisis-scholarship-scheme
93,ALSER Lab Research Opportunities,"Bachelor's, Master's, PhD",Ongoing recruitment cycles,Georgia,stipend or maintenance (monthly/annually),,"Research Position
Offers research positions in bioinformatics, computational genomics, and data science; funding based on specific roles",https://alserlab.github.io/
94,Talal Abu-Ghazaleh Digital MBA Scholarship,Master's,Ongoing recruitment cycles,Jordan,full tuition,,"Yes, for displaced Palestinians and refugees
Open to Palestinians, refugees, and displaced Arabs seeking an MBA program through MOOCs",https://www.tag-gu.global/News/en/news/5885#
95,UNRWA University Scholarships,"Bachelor's, Master's",Ongoing recruitment cycles,Global,"full tuition, partial tuition",,Palestine refugees demonstrating financial need and academic excellence,https://www.unrwa.org/what-we-do/university-scholarships
96,The Dr Maisara Alrayyes Scholarship,Master's,Open early 2025,UK,"full tuition, stipend or maintenance (monthly/annually), visa cost, travel allowance",Depends on university or degree program,King's College London Postgraduate Master’s Degree in a health or health science subject,https://www.kcl.ac.uk/the-dr-maisara-alrayyes-scholarship
97,Gazan Humanitarian Scholarship,"Bachelor's, Master's",Open early 2025,UK,"full tuition, stipend or maintenance (monthly/annually), travel allowance, visa cost, health allowance",,"£12,000 per annum
Open to Gazan citizens displaced outside Gaza, not in the UK; must apply for a course at Leeds beforehand",https://www.leeds.ac.uk/undergraduate-funding-university/doc/gazan-humanitarian-scholarship
98,INSEAD Said Foundation Scholarship Fund,Master's,Open early 2025,INSEAD,"partial tuition, full tuition",,MBA. Open to Syrian and Palestinian MBA students with demonstrated financial need and leadership potential,https://www.insead.edu/insead-said-foundation-scholarship-fund-syrian-and-palestinian-mba-students
99,Cuba Medical Scholarship,"Bachelor's, Master's, PhD",Open now,Cuba,"full tuition, accommodation, stipend or maintenance (monthly/annually)",unclear,"Palestinian medical students from West Bank, Gaza, or refugee camps",https://www.cubasi.cu/en/news/cuba-offers-200-fully-paid-scholarships-palestinian-medical-students-study-island
100,IIE-SRF Fellowship,"Postdoc, Research Fellowship, Scholars at Risk","Rolling, but for a possible decision in March 2025, application materials must be submitted by January 20, 2025. Awarded quarterly",Anywhere,stipend or maintenance (monthly/annually),,"Scholars at Risk program. 25,000 USD for the year.",https://www.scholarrescuefund.org/for-scholars/
101,UW -- Natural Disaster or Emergency Situation,Bachelor's,Transfer applications due 15-Feb-2025,US,,"IELTS, TOEFL, Duolingo Test",University of Washington. Applicants can fill out this Emergency Situation form to apply for scholarship. Exact amount awarded seems dependent on individual situation. Applicants from Gaza are encouraged to apply.,https://admit.washington.edu/contact/have-a-question/disasteroremergency/
102,Transilvania Academica Scholarship,"Bachelor's, Master's, PhD",Typically Jan–Mar (annual),Romania,"full tuition, accommodation, stipend or maintenance (monthly/annually)",,"Full-time only// Possibly TOEFL/IELTS waived case-by-case
Non-EU/EEA students with excellent academic record and extra-curricular achievements",https://tas.unitbv.ro
103,Qaddumi UK Master's Scholarship (2025),Master's,Typically opens annually Q1,All UK universities (institution agnostic),"full tuition, stipend or maintenance (monthly/annually), visa cost","IELTS, TOEFL",,https://qaddumi.org/en/masters-scholarship-in-uk-2025/
104,Albukhary International University scholarships ,,unclear,Malaysia,unclear,unclear,Must be between 18-22 years old. Additional information about this scholarship is very unclear.,https://aiu.edu.my/scholarship/
105,UWC Maastricht Palestine,Primary or Secondary School,unclear,Netherlands ,unclear,unclear,,https://www.uwcmaastricht.nl/project/a-future-for-palestine/
106,Cara Fellowship Programme,"Postdoc, PhD, Research Fellowship, Scholars at Risk",unclear,"UK, plus other countries",unclear,unclear,This is a fellowship program that places scholars at risk in universities and other institutions where they can continue their work.,https://www.cara.ngo/what-we-do/caras-fellowship-programme
107,Taiwan Ministry of Education Scholarship,"Bachelor's, Master's, PhD",unclear,Taiwan,"full tuition, stipend or maintenance (monthly/annually)",unclear,"It is very unclear if/how Palestinian students can apply to this scholarship, as the scholarship is administered through Taipei Economic and Cultural Offices (TECO) that function similar to embassies worldwide. Palestine does not have its own TECO office.",https://english.moe.gov.tw/cp-24-16833-23C09-1.html
108,Al Qasimia University,Bachelor's,unclear,United Arab Emirates,"stipend or maintenance (monthly/annually), travel allowance, visa cost, health allowance, accommodation",Depends on university or degree program,Al Qasimia University,https://www.alqasimia.ac.ae/en/AdmissionRegistration/Pages/AdmissionRequirements.aspx
109,Lusail University,Bachelor's,unclear,Qatar,"full tuition, travel allowance, accommodation, stipend or maintenance (monthly/annually), health allowance",Depends on university or degree program,"For additional information about the programs offered, please contact:

Academic Director of Qatar Scholarships
qatarscholarships@qatarfund.org.qa

Most programs are taught in Arabic",https://lu.edu.qa/international-students-2/?lang=en
110,King Faisal University,"Master's, PhD",unclear,Saudi Arabia,"full tuition, partial tuition",unclear,Exact amount varies based on program. ,https://www.kfu.edu.sa/en/Deans/HigherStudies/Pages/Non-Saudi-Scholarship.aspx
111,The McGill scholarships for at risk students and scholars,"Bachelor's, Master's, PhD, Postdoc, Research Fellowship, Scholars at Risk",unclear,Canada,"full tuition, stipend or maintenance (monthly/annually)",unclear,"application process is unclear. There is a contact form for interested applicants, but this is not the application itself. https://forms.office.com/Pages/ResponsePage.aspx?id=cZYxzedSaEqvqfz4-J8J6ka_m08nLC5FtTGbPo_ZZ49UNjRWTFBMRTc0Mk1OQlE4VTY1SjlCU1I1TyQlQCN0PWcu ",https://www.mcgill.ca/provost/initiatives/mcgill-students-and-scholars-risk-fund
112,Durban University,Postdoc,unclear,South Africa,unclear,unclear,"""The president has created two doctoral/post-doctoral Fellowships at CAPRISA in Durban South Africa for Palestinian scientists. Our focus is primarily infectious diseases.  For those interested contact
Quarraisha.AbdoolKarim@caprisa.org""",https://www.linkedin.com/posts/rana-dajani_the-president-has-created-two-doctoralpost-doctoral-activity-7252590887816339456-tCTC/?utm_source=share&utm_medium=member_ios
113,Grace Medicos Grant,Exchange Program,unclear,Brazil,stipend or maintenance (monthly/annually),,You must be a doctor and proficient in Portuguese. Mais Médicos para o Brasil offers opportunities for further education and training. A doctor participating in the program will be able to carry out a Specialization and a Master’s degree in up to four years. Physicians will also receive benefits that are proportional to the grant’s monthly value to work in city outskirts and remote regions of Brazil.,"https://www.gov.br/planalto/en/latest-news/2023/03/brazil-announces-its-new-mais-medicos-para-o-brazil-program 
https://docs.google.com/document/d/1MIiPkKBHkVD2rBQBE3ooqLbkoLJIp4CNxJY1HyqTW6I/edit?tab=t.0 "
114,KAUST,"Master's, PhD",Unclear,Saudi Arabia,"full tuition, stipend or maintenance (monthly/annually), accommodation, health allowance, visa cost, travel allowance","IELTS, TOEFL","King Abdullah University of
Science and Technology.

There is no separate application for the KAUST Fellowship. All admitted students automatically receive the KAUST Fellowship, except those funded through specific partnership or externally sponsored programs. If you are admitted, the details of the KAUST Fellowship will be outlined in your offer letter.","https://admissions.kaust.edu.sa/how-to-apply/admission-timelines 
https://admissions.kaust.edu.sa/fees-funding 
"
115,RWTH - IIT Madras,Research Fellowship,unclear if scholarship still operating in 2024/2025,"Germany, India",stipend or maintenance (monthly/annually),unclear,"For Master students and doctoral candidates from IIT Madras and RWTH Aachen University. Purpose of fellowship is provide funding for Master's or doctoral thesis research.

Master's students awarded 900 euros per month for up to six months. PhD students awarded 1,250 euros per month for three to six months.",https://www.rwth-aachen.de/go/id/lykwb?lidx=1#aaaaaaaaaalykzd
116,KAAD Scholarship Programme 1,"Master's, PhD, Postdoc, Research Fellowship","unclear, potentially rolling (always accepting applications)",Germany,unclear,,"Applicants must be of Catholic denomination (or generally belong to a Christian denomination, especially for applicants from the Near and Middle East). Applicants of another religion can be funded if they are proposed by Catholic partners in view of a documentable willingness to engage in interreligious dialogue.

Applicants must also have German language skills prior to entry (KAAD can provide for a German language course of max. 6 months in Germany).",https://www.kaad.de/en/stipendien
117,KAAD Scholarship Programme 2,"Master's, PhD","unclear, potentially rolling (always accepting applications)",Germany,unclear,,"Scholarship applications can be made exclusively through the Catholic University Chaplaincies (KHG or KSG) at your university location.

It is not possible to apply directly to KAAD Scholarship Programme 2. 

Applicants must already be studying in Germany and have at least 10 months of study remaining. They must also be of Catholic denomination (or belong to a Christian denomination, which applies especially for students from the Near and Middle East). Applicants from another religion can be supported if they are proposed by Catholic partners in view of a documentable willingness to engage in interreligious dialogue.

Applicants must have knowledge of the German language at least at a communication level.",https://www.kaad.de/en/stipendien/stipendienprogramm-2
118,Western University ,Bachelor's,"unclear; there is no specific Undergraduate application deadline if you are a Group B applicant, which includes international students. Deadlines vary at each university and sometimes depend on the program. Visit the university websites or contact the universities directly for their deadlines.",Canada,stipend or maintenance (monthly/annually),"IELTS, TOEFL, Duolingo Test","Western University in Canada. For scholarship consideration, you must have received an admission offer to an undergraduate program at Western’s main campus, and intend to register as full time student.

25,000 CAD / year for up to 4 years.

If you apply to Western and your English language proficiency test scores are close but don't quite meet our requirements, we could offer you a spot in the English Boost Program. We only offer this if you meet all other admission requirements. You are automatically considered, there is no extra application. ",https://registrar.uwo.ca/student_finances/scholarships_awards/admission/western_scholarships_for_globally_displaced_students.html
119,Bristol Think Big Programme,"Bachelor's, Master's, PhD","Undegraduate deadline: 24-Feb-2025
Postgraduate deadline: 23-Apr-2025",UK,stipend or maintenance (monthly/annually),Depends on university or degree program,"University of Bristol.

Think Big undergraduate scholarships are valued at £6,500 and £13,000 for each year of study.

Think Big postgraduate scholarships are valued at £6,500, £13,000 and £26,000 for each year of study.

The University of Bristol has many degree programs across several disciplines, including for instance a PhD program in cybersecurity. https://www.bristol.ac.uk/cdt/cyber-security/how-to-apply/ 

Other programs are here https://www.bristol.ac.uk/study/postgraduate/ and here https://www.bristol.ac.uk/study/undergraduate/ ",https://www.bristol.ac.uk/international/fees-finance/scholarships/
120,VLIR-UOS ICP Connect Scholarships,"Master's, Bachelor's",Varied,Belgium,"full tuition, travel allowance, stipend or maintenance (monthly/annually)",TOEFL,"Preference for vulnerable and displaced applicants
Bachelor's candidates (≤35), Advanced Master's (≤45)",https://www.vliruos.be/get-funded/study-scholarships
121,Development-Related Postgraduate Courses (EPOS) • DAAD,"Master's, PhD",varies,Germany,"stipend or maintenance (monthly/annually), health allowance, travel allowance",Depends on university or degree program,"Funds postgraduate courses in Germany on this list: https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_epos_-_deadlines_2025_26.pdf 

Value: Depending on academic level, monthly payments of 992 euros for graduates or 1,300 euros for doctoral candidates
Payments towards health, accident and personal liability insurance cover
Travel allowance, unless these expenses are covered by the home country or another source of funding
Under certain circumstances, scholarship holders may receive the following additional benefits:
Monthly rent subsidy
Monthly allowance for accompanying members of family",https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_epos_-_deadlines_2025_26.pdf
122,Scholarships and Fellowships – Dutch Scholars for Palestine,"Bachelor's, Master's",Varies,Netherlands,,,Specifically for Palestinians interested in Dutch academia,https://www.dutchscholarsforpalestine.nl/scholarships-and-fellowships-palestine
123,E-JUST Scholarship and Financial Aid,"Bachelor's, Master's",Varies,Egypt,,,Targeting exceptional students; scholarships for merit,https://www.ejust.edu.eg/ug-scholarships
124,Bseisu Foundation Scholarships,Master's,"Varies because Beisu offers many different fellowships, but they all look closed","UK, US, Palestine, Malaysia",full tuition,Depends on university or degree program,"The Bseisu Foundation offers different scholarships and funding opportunities across the UK, US, Middle East and Malaysia.",https://www.bseisufoundation.org/other-funding-opportunities and https://www.bseisufoundation.org/scholarships 
125,Erasmus Mundus,Master's,Varies because Erasmus Mundus offers many different degree programs at universities across Europe,Europe,"full tuition, health allowance, stipend or maintenance (monthly/annually), travel allowance",Depends on university or degree program,"Erasmus Mundus Joint Masters are prestigious international masters, jointly designed and delivered by a group of higher education institutions. They involve at least 3 institutions from at least 3 different countries, and multiple associated partners from the academic and non-academic world. Typically, they include periods of study, research, traineeship, thesis preparation and defence. 

You can view the website to find programs that suit your interests. 

Some programs require language proficiency in languages other than English. Check each individual program for exact details on scholarship coverage.","Erasmus Mundus Joint Masters are prestigious international masters, jointly designed and delivered by a group of higher education institutions. They involve at least 3 institutions from at least 3 different countries, and multiple associated partners from the academic and non-academic world. Typically, they include periods of study, research, traineeship, thesis preparation and defence. 

You can view the website to find programs that suit your interests.

Some programs require language proficiency in languages other than English. Check each individual program for exact details on scholarship coverage."
126,UWL PhD Opportunities,PhD,Varies by program,UK,full tuition,"TOEFL, IELTS",,https://www.uwl.ac.uk/research/phd-opportunities
127,Graduate Research Scholarships,"Master's, PhD",Varies; apply by the deadline for chosen course of study and you will be automatically considered for this scholarship,Australia ,"full tuition, stipend or maintenance (monthly/annually), health allowance, travel allowance",unclear,University of Melbourne,https://scholarships.unimelb.edu.au/awards/graduate-research-scholarships
128,Khalifa University of Science and Technology,"Master's, PhD",,UAE,"full tuition, accommodation, health allowance, travel allowance, visa cost",,Stipend of 20000 AED if you are a PhD student,https://www.ku.ac.ae/scholarships-postgraduate#international-students
129,Sijal Palestine Scholarship,Certificate Program,,Jordan,full tuition,,"Palestine Scholarships are awarded to students involved in peaceful, non-violent movements for Palestinian freedom and liberation, with a priority to those students who have faced violence or suspension as a result of their activism",https://www.sijal.org/palestine-scholarship
130,Gazan Women's Scholarship,"Bachelor's, Master's",,Canada,"full tuition, health allowance, travel allowance, stipend or maintenance (monthly/annually), accommodation",,"You must have been registered in a university in Gaza on October 6, 2023, and you must currently reside in Egypt.",https://docs.google.com/forms/d/e/1FAIpQLSdru8l9indOt-Wbo1H_KHZNSFbT1QPriswMZp4SYrKqP2sr-A/viewform
131,Data Camp ,Online,,,,,,
132,McCall McBain Scholars,Master's,closed for 2026/2027,Canada,"full tuition, travel allowance, stipend or maintenance (monthly/annually)","IELTS, TOEFL","McGill University. In addition to Master's degrees, the following ""second-entry professional undergraduate degrees"" are eligible: BCL/JD (Law), DMD (Dentistry), MDCM (Medicine)",https://mccallmacbainscholars.org/
133,Bseisu-UCL Scholarship,Master's,Typically late April,UK,"full tuition, stipend or maintenance (monthly/annually)",Depends on university or degree program,"Students from Lebanon, Jordan, Palestine, Syria; strong academic merit, financial need",https://www.ucl.ac.uk/scholarships/bseisu-ucl-scholarship
134,MTCP Scholarship,Master's,18-Jun-2025,Malaysia,"full tuition, stipend or maintenance (monthly/annually), travel allowance","Depends on university or degree program, TOEFL, IELTS",Open to citizens of developing countries with work experience and strong academic merit,https://mtcp.kln.gov.my/scholarship
135,CRUI–MAECI Italian University Scholarships for Palestinians,Master's,variable -,Italy,"full tuition, stipend or maintenance (monthly/annually), accommodation",,Note: deadlines for language course in early May. University deadlines differ,https://www.crui.it/home-ri/iupals-italian-universities-for-palestinian-students.html
136,NAWA Banach Scholarship,Master's,8-May-2026,Poland,"full tuition, stipend or maintenance (monthly/annually)",,Note: call opened 13/04,https://nawa.gov.pl/en/students/foreign-students/the-banach-scholarship-programme/about-the-programme
